school_name,district_name,year,grad_rate,cohort_size,sat_total,sat_math,sat_reading,sat_writing,school_grade,grade_score,mobility_rate,mobility_count,discipline_percent,hope_eligible_count,hope_eligible_percent
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,4.4,1453.0,50.1344,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,49.7876,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,49.7876,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,49.74080000000001,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,49.74080000000001,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,49.854,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,49.854,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,50.4186,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,50.4186,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,50.726,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,50.726,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,50.5586,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,50.5586,130.0,41.67
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,50.477,176.0,51.46
WOODLAND HIGH SCHOOL,Bartow County,2023-24,94.57,331.0,1013.8,478.3,270.6,264.9,,,7.300000000000001,1251.0,50.477,130.0,41.67
